code,population,area,density
E05005262,3489,441.64,7.9
E05005263,1459,400.16,3.6
E05005264,5291,603.38,8.8
E05005265,6074,332.17,18.3
E05005266,5827,383.31,15.2
E05005267,3848,69.01,55.8
E05005268,5180,377.87,13.7
E05005269,3854,83.54,46.1
E05005270,4459,113.67,39.2
E05005271,7301,192.56,37.9
E05005272,4589,104.13,44.1
E05005273,3578,137.42,26
E05005274,6103,89.85,67.9
E05005275,5784,290.02,19.9
E05005276,7503,358.36,20.9
E05005277,6404,288.57,22.2
E05005278,7369,203.77,36.2
E05005279,7500,186.34,40.2
E05005280,6157,819.75,7.5
E05005281,5211,110.56,47.1
E05005282,4577,1858.49,2.5
E05005283,6647,7768.9,0.9
E05005284,8548,601.62,14.2
E05005285,6351,238.44,26.6
E05005286,7029,89.02,79
E05005287,8187,120.31,68
E05005288,6279,251.77,24.9
E05005289,8628,203.99,42.3
E05005290,7380,105.66,69.8
E05005291,4618,96.2,48
E05005292,1737,4882.67,0.4
E05005293,2643,1217.43,2.2
E05005294,3154,796.1,4
E05005295,1325,12438.05,0.1
E05005296,1316,1643.23,0.8
E05005297,1356,12143.66,0.1
E05005298,2633,1865.08,1.4
E05005299,2995,1383.59,2.2
E05005300,2551,453.82,5.6
E05005301,2773,137.21,20.2
E05005302,1405,6547.96,0.2
E05005303,2261,717.77,3.2
E05005304,2936,141.13,20.8
E05005305,2672,1444.87,1.8
E05005306,3075,89.7,34.3
E05005307,2573,1062.67,2.4
E05005308,1598,927.26,1.7
E05005309,1422,991.85,1.4
E05005310,2846,308.62,9.2
E05005311,3135,287.36,10.9
E05005312,2933,4375.71,0.7
E05005313,3895,1632.86,2.4
E05005314,2582,405.76,6.4
E05005315,1316,2421.75,0.5
E05005316,3756,324.57,11.6
E05005317,3520,2027.46,1.7
E05005318,3586,1111.26,3.2
E05005319,4033,850.75,4.7
E05005320,5726,256.01,22.4
E05005321,5805,1112.11,5.2
E05005322,5389,508.48,10.6
E05005323,3914,702.67,5.6
E05005324,5805,1887.97,3.1
E05005325,5505,450.78,12.2
E05005326,5478,479.67,11.4
E05005327,3789,796.64,4.8
E05005328,5642,1826.16,3.1
E05005329,6034,1470.29,4.1
E05005330,4896,366.99,13.3
E05005331,4665,164.42,28.4
E05005332,4384,116.31,37.7
E05005333,4163,194.77,21.4
E05005334,3532,162.62,21.7
E05005335,3372,290.87,11.6
E05005336,3600,150.83,23.9
E05005337,2823,312.48,9
E05005338,4354,619.53,7
E05005339,5000,123.32,40.5
E05005340,3863,452.8,8.5
E05005341,4339,85.66,50.7
E05005342,3740,73.99,50.5
E05005343,4833,253.61,19.1
E05005344,3479,196.7,17.7
E05005345,4067,1274.09,3.2
E05005346,5527,1705.91,3.2
E05005347,3762,102.59,36.7
